[INFO ] 2024-03-29 22:36:41.357 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: https://lms-marchapi-hackathon-a258d2bbd43b.herokuapp.com/lms/users/byStatus?id=R02 is Successfully <===>
[INFO ] 2024-03-29 22:36:41.596 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: https://lms-marchapi-hackathon-a258d2bbd43b.herokuapp.com/lms/users/byStatus?id=R03 is Successfully <===>
[INFO ] 2024-03-29 22:37:19.726 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllUsers is Successfully <===>
[INFO ] 2024-03-29 22:37:20.367 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllRoles is Successfully <===>
[INFO ] 2024-03-29 22:37:20.608 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllUsersWithRole is Successfully <===>
[INFO ] 2024-03-29 22:37:21.427 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetUserByUserId is Successfully <===>
[INFO ] 2024-03-29 22:37:21.673 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: https://lms-marchapi-hackathon-a258d2bbd43b.herokuapp.com/lms/users/byStatus?id=all is Successfully <===>
[INFO ] 2024-03-29 22:37:21.906 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: https://lms-marchapi-hackathon-a258d2bbd43b.herokuapp.com/lms/users/byStatus?id=R01 is Successfully <===>
[INFO ] 2024-03-29 22:37:22.143 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: https://lms-marchapi-hackathon-a258d2bbd43b.herokuapp.com/lms/users/byStatus?id=R02 is Successfully <===>
[INFO ] 2024-03-29 22:37:22.380 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: https://lms-marchapi-hackathon-a258d2bbd43b.herokuapp.com/lms/users/byStatus?id=R03 is Successfully <===>
[INFO ] 2024-03-29 22:39:54.032 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllUsers is Successfully <===>
[INFO ] 2024-03-29 22:39:54.654 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllRoles is Successfully <===>
[INFO ] 2024-03-29 22:39:54.921 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllUsersWithRole is Successfully <===>
[INFO ] 2024-03-29 22:39:55.750 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetUserByUserId is Successfully <===>
[INFO ] 2024-03-29 22:39:55.985 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: https://lms-marchapi-hackathon-a258d2bbd43b.herokuapp.com/lms/users/byStatus?id=all is Successfully <===>
[INFO ] 2024-03-29 22:39:56.211 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: https://lms-marchapi-hackathon-a258d2bbd43b.herokuapp.com/lms/users/byStatus?id=R01 is Successfully <===>
[INFO ] 2024-03-29 22:39:56.455 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: https://lms-marchapi-hackathon-a258d2bbd43b.herokuapp.com/lms/users/byStatus?id=R02 is Successfully <===>
[INFO ] 2024-03-29 22:39:56.739 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: https://lms-marchapi-hackathon-a258d2bbd43b.herokuapp.com/lms/users/byStatus?id=R03 is Successfully <===>
[INFO ] 2024-03-29 22:45:41.994 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllUsers is Successfully <===>
[INFO ] 2024-03-29 22:45:42.627 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllRoles is Successfully <===>
[INFO ] 2024-03-29 22:45:42.883 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllUsersWithRole is Successfully <===>
[INFO ] 2024-03-29 22:45:43.700 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetUserByUserId is Successfully <===>
[INFO ] 2024-03-29 22:45:43.954 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: https://lms-marchapi-hackathon-a258d2bbd43b.herokuapp.com/lms/users/byStatus?id=all is Successfully <===>
[INFO ] 2024-03-29 22:45:44.198 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: https://lms-marchapi-hackathon-a258d2bbd43b.herokuapp.com/lms/users/byStatus?id=R01 is Successfully <===>
[INFO ] 2024-03-29 22:45:44.431 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: https://lms-marchapi-hackathon-a258d2bbd43b.herokuapp.com/lms/users/byStatus?id=R02 is Successfully <===>
[INFO ] 2024-03-29 22:45:44.759 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: https://lms-marchapi-hackathon-a258d2bbd43b.herokuapp.com/lms/users/byStatus?id=R03 is Successfully <===>
[INFO ] 2024-03-29 23:05:47.689 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllUsers is Successfully <===>
[INFO ] 2024-03-29 23:05:48.813 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllRoles is Successfully <===>
[INFO ] 2024-03-29 23:05:49.071 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllUsersWithRole is Successfully <===>
[INFO ] 2024-03-29 23:05:50.495 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetUserByUserId is Successfully <===>
